file,family,actual_format,kind,expected,screenshot,notes
55_dds_bgra.dds,DDS,BGRA32,decode,pass,1,
56_jxr.jxr,JPEG XR,JPEG XR,decode,pass,1,Real JPEG XR codestream generated with Microsoft JPEG XR tools
57_jxr_alias.wdp,JPEG XR,JPEG XR / .wdp alias,decode,pass,0,Real JPEG XR bytes through WDP extension routing
58_jxr_alias.hdp,JPEG XR,JPEG XR / .hdp alias,decode,pass,0,Real JPEG XR bytes through HDP extension routing
59_heif.heif,HEIF,Uncompressed ISO HEIF,decode,codec-dependent,1,Standards-valid HEIF fixture; Windows codec support may vary
59_heic_alias.heic,HEIF/HEIC,Uncompressed HEIF / .heic alias,decode,codec-dependent,0,Exercises HEIC extension routing with standards-valid HEIF container
59_heifs_alias.heifs,HEIF,Uncompressed HEIF / .heifs alias,decode,codec-dependent,0,Extension-routing alias
59_heics_alias.heics,HEIF/HEIC,Uncompressed HEIF / .heics alias,decode,codec-dependent,0,Extension-routing alias
59_hif_alias.hif,HEIF,Uncompressed HEIF / .hif alias,decode,codec-dependent,0,Extension-routing alias
60_jpg_variant1.jpg,JPEG,JPEG variant,decode,pass,1,Repeated tiny fixture for stability/navigation coverage
61_jpg_variant2.jpg,JPEG,JPEG variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
62_jpg_variant3.jpg,JPEG,JPEG variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
63_jpg_variant4.jpg,JPEG,JPEG variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
64_png_variant1.png,PNG,PNG variant,decode,pass,1,Repeated tiny fixture for stability/navigation coverage
65_png_variant2.png,PNG,PNG variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
66_png_variant3.png,PNG,PNG variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
67_png_variant4.png,PNG,PNG variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
68_webp_variant1.webp,WEBP,WEBP variant,decode,pass,1,Repeated tiny fixture for stability/navigation coverage
69_webp_variant2.webp,WEBP,WEBP variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
70_webp_variant3.webp,WEBP,WEBP variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
71_webp_variant4.webp,WEBP,WEBP variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
72_avif_variant1.avif,AVIF,AVIF variant,decode,pass,1,Repeated tiny fixture for stability/navigation coverage
73_avif_variant2.avif,AVIF,AVIF variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
74_avif_variant3.avif,AVIF,AVIF variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
75_avif_variant4.avif,AVIF,AVIF variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
76_tif_variant1.tif,TIFF,TIFF variant,decode,pass,1,Repeated tiny fixture for stability/navigation coverage
77_tif_variant2.tif,TIFF,TIFF variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
78_tif_variant3.tif,TIFF,TIFF variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
79_tif_variant4.tif,TIFF,TIFF variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
80_tga_variant1.tga,TGA,TGA variant,decode,pass,1,Repeated tiny fixture for stability/navigation coverage
81_tga_variant2.tga,TGA,TGA variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
82_tga_variant3.tga,TGA,TGA variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
83_tga_variant4.tga,TGA,TGA variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
84_pcx_variant1.pcx,PCX,PCX variant,decode,pass,1,Repeated tiny fixture for stability/navigation coverage
85_pcx_variant2.pcx,PCX,PCX variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
86_pcx_variant3.pcx,PCX,PCX variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
87_pcx_variant4.pcx,PCX,PCX variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
88_qoi_variant1.qoi,QOI,QOI variant,decode,pass,1,Repeated tiny fixture for stability/navigation coverage
89_qoi_variant2.qoi,QOI,QOI variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
90_qoi_variant3.qoi,QOI,QOI variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
91_qoi_variant4.qoi,QOI,QOI variant,decode,pass,0,Repeated tiny fixture for stability/navigation coverage
90_settings_large.jpg,Settings fixture,4096x3072 JPEG,settings,pass,0,
91_settings_progressive.jpg,Settings fixture,4096x3072 progressive JPEG,settings,pass,0,
92_settings_large.png,Settings fixture,3072x2048 PNG,settings,pass,0,
prefetch_00.jpg,Prefetch fixture,JPEG,settings,pass,0,
prefetch_01.jpg,Prefetch fixture,JPEG,settings,pass,0,
prefetch_02.jpg,Prefetch fixture,JPEG,settings,pass,0,
prefetch_03.jpg,Prefetch fixture,JPEG,settings,pass,0,
prefetch_04.jpg,Prefetch fixture,JPEG,settings,pass,0,
prefetch_05.jpg,Prefetch fixture,JPEG,settings,pass,0,
prefetch_06.jpg,Prefetch fixture,JPEG,settings,pass,0,
prefetch_07.jpg,Prefetch fixture,JPEG,settings,pass,0,
prefetch_08.jpg,Prefetch fixture,JPEG,settings,pass,0,
prefetch_09.jpg,Prefetch fixture,JPEG,settings,pass,0,
prefetch_10.jpg,Prefetch fixture,JPEG,settings,pass,0,
prefetch_11.jpg,Prefetch fixture,JPEG,settings,pass,0,
99_gif_variant.gif,GIF,GIF variant,decode,pass,0,Additional tiny fixture to make the Phase 17 suite exactly 100 test images
100_wbmp.wbmp,WBMP,Wireless Bitmap,decode,pass,1,Phase 17 Part 3 compact native decoder
101_pfm.pfm,PFM,Portable Float Map,decode,pass,1,Phase 17 Part 3 compact native HDR float decoder
102_xbm.xbm,XBM,X11 Bitmap,decode,pass,1,Phase 17 Part 3 compact native decoder
93_large_progressive_portrait_21mp.jpg,Performance fixture,3746x5616 progressive 4:2:0 JPEG; 10 scans starting Y-DC/Cb-DC/Cr-DC,performance,pass,0,Glide 2.5 regression fixture for decoder-native reduced first paint and colour-first progressive policy
